Model,Make (Organization)
iHealth Activity Tracker (Model Unspecified) ,iHealth
iHealth Blood Glucose Monitor (Model Unspecified),iHealth
iHealth Blood Pressure Monitor (Model Unspecified),iHealth
iHealth Scale (Model Unspecified),iHealth
ilumivu,ilumivu
Iluria,Iluria Health
ImageMeter App,ImageMeter
Imagent,ISS
IMEC EEG Headset,IMEC
imitoWound,Imito
iMotions (Model Unspecified),Imotions
IMOvifa,CREWT Medical Systems
Impact Monitor Mouthguard,Prevent Biometrics
Impulse,ActoFit
Impulse X2E System,PhaseSpace
IMU Sensor,MUSCLELAB
IMU-3000,InvenSense
InBody 270,InBody
InBody 570,InBody
InBody 770,InBody
Inbody Band 2,InBody
InBody H20N,InBody
InBody R20,InBody
InBody120,InBody
InBody970,InBody
InBodyS10,InBody
InCaveo,InCaveo
Index S2 Smart Scale,Garmin
Index Smart Scale,Garmin
Indicor,Vixiar Medical
Inductotrace,Ambulatory Monitoring
Inflastat,Caltech
Infrared Thermometer (MD-H30),Berrcom
Infrared Thermometer (PC808),Shenzhen Pacom Medical Instruments
Infrascanner 2000,InfraScan
Ingeni 4G,Ingeni Health
Ingestible Pill,Proteus Digital Health
Inito ,Inito
Inner Balance,HeartMath
InSight 3D Measurement Module,eKare
INSIGHT Pro,Adapttech
Insights App,NichePharma
Insomnograf K1,S'UIMIN
Inspire,Fitbit
Inspire 2,Fitbit
Inspire 3,Fitbit
Inspire HR,Fitbit
Instadose+,Mirion
Instant Heart Rate,Azumio Inc.
Instant S Glucose  Meter,"Accu-Chek,Roche"
Instinct,Garmin
Insulclock,Insulcloud
IntelliVue MX400,Philips
iNview Retinal Camera,Volk Optical
Invu,Nuvo
IoM grapher ,Wild Divine (formerly Unyte) 
ION,Milo Sensors
iOn PROGRESS,3M
Ionic,Fitbit
iOximeter,Safe Heart
iPac,AMETEK Reichert
iPad (Series Unspecified),Apple
iPad 3,Apple
iPad Air 2,Apple
iPad Mini (Series Unspecified),Apple
iPad Pro,Apple
iPhone (Series Unspecified),Apple
iPhone 4,Apple
iPhone 4S,Apple
iPhone 5,Apple
iPhone 5S,Apple
iPhone 6,Apple
iPhone 6S,Apple
iPhone 7,Apple
iPhone 8,Apple
iPhone 8 Plus,Apple
iPhone 11,Apple
iPhone 12,Apple
iPhone 13,Apple
iPhone 14,Apple
iPhone SE,Apple
iPhone X,Apple
iPhone XR,Apple
iPhone XS MAX,Apple
iPod Touch,Apple
iPro CGM,Medtronic
iPro2 CGM,Medtronic
iPrognosis,i-PROGNOSIS
iProven DMT-489,iProven
IR 210,Microlife
IR20b,Foracare
IR21,Foracare
Iris Smart Ring,Iris
iSight Test Pro,Kay Pictures
iSpiro,"Clario,ERT Health (now Clario)"
iStride,Moterum
iSyncBrain,iMediSync
iSyncHeart,iMediSync
iSyncWave,iMediSync
Itch Tracker,Galderma
iThermonitor (WT701),Raiing Medical
iThermonitor (WTM-BT3O-I),Raiing Medical
ithlete finger sensor,HRV Fit
iTremorONE,Head Diagnostics
ITStriker app,ETS4ME
IVY103 Digital Ovulation Predictor,Lollitech
iWalkAssess,University of Toronto
J-Style 1755 GPS Watch Tracker,Joint Chinese Ltd.
J3,Samsung
Jabra Sport Pulse,Jabra
January.ai,January AI
Jawbone (Model Unspecified),Jawbone
Jazz Wireless 2 Meter,Agamatrix
Jewel,Element Science
JM-105,Draeger
Joule,BioSensitive Technologies
Jumpo 2,LPTF
JXB-182 Infrared Thermometer,Berrcom
K-D Balance (King-Devick),King-Devick Technologies Inc.
K-D Eye Tracking Software System,King-Devick Technologies Inc.
K-Grip,KINVENT
K'Watch Athlete,PKvitality
K'Watch Glucose,PKvitality
K4b2,COSMED
K5,COSMED
Kaia Health Motion Coach ,Kaia Health
Kailash,Suunto
Kairos,Biostrap
Kaleidos,US Ophthalmic
KAMU Spirometer,KAMU Health
Kanega Watch,UnaliWear
KardiaBand,AliveCor
KardiaMobile,AliveCor
KardiaMobile 6L,AliveCor
KardiaMobile Card,AliveCor
kari,Euleria Health
Karie,AceAge
kCalculator,Lummé Health
Keen2,HabitAware
Keesense,Chronolife
Kelvin,Machine Medicine
Kenek Edge,LionsGate Technologies
Kenzen Patch,Kenzen
Kernel Flow,Kernel
Ketonix,Ketonix
Ketoscan,SENTECH GMI Corp.
KetoSens BT,i-sens
Keyble ,Flywallet
KeyGlove,KeyGlove
Keyto Breath Sensor,Keyto
ki:e SB-C Cognition,ki:elements
ki:e SB-E Emotion and Motivation,ki:elements
ki:e SB-M Motor Function,ki:elements
ki:e SB-R Respiratory Function,ki:elements
Kiddo,Good Parents Inc/Kiddo
Kindara,"Prima-Temp,Kindara (now Prima-Temp)"
Kinect,Microsoft
Kinect v2,Microsoft
Kinesia 360,Great Lakes NeuroTechnologies
Kinesia HomeView,Great Lakes NeuroTechnologies
Kinesia ONE,Great Lakes NeuroTechnologies
KinesiaU,Great Lakes NeuroTechnologies
Kinesis QTUG,Shimmer Sensing
Kinetics Pro,INNOVENTIONS
King-Devick Test,King-Devick Technologies Inc.
KinMAS,J-Mex
KINO,HeartKinetics
Kinotek,Kinotek
Kinsa Quick Care,Kinsa
Kinsa Smart Ear,Kinsa
Kintsugi,Kintsugi
Kipuwex,Kipuwex
KiRA,OrthoKey
Klue Health App,Klue Health 
KnowU,Know Labs
KoKo SX 1000,KoKo
Konectom,Biogen
Koneksa Algorithms,Koneksa Health
Kronowise,Kronohealth
Kubios HRV,
KUDUwave Pro,CluisTROM
KW06 Pro Smart Watch & Activity Tracker,Wearme
L2 Syntactical Complexity Analyzer,Pennsylvania State University
L7 HD3 (Linear Scanner),Clarius
Lactate Meter,Onalabs
Lactate Pro 2 LT-1730,Arkray
Lactate Scout 4,EKF Diagnostics
Lafayette Handheld Dynamometer 01165APP,Lafayette Instrument
LANGaware,LANGaware
Language Environment Analysis (LENA) Recorder,LENA
Largan ECG Holter (Model Unspecified),Largan 
Lark Glucometer,Lark Health
Laxcido 4G,Tycho Technologies
Leaf Patient Monitoring System,"Smith+Nephew,Leaf Healthcare (now Smith+Nephew)"
Leaf Urban,Bellabeat
LEAP ,ActiGraph
Leap Motion Controller,Ultraleap
Leap Ware,Acer
LEAP-M,Bio Union
LEGSys,BioSensics
Leo Asthma Platform,ResMed
Lepton 3.5,FLIR Systems
LETHE App,LETHE Consortium
Letscom ID205L,Letsfit
Letsfit (Model Unspecified),Letsfit
Levels CGM,Levels
Leviacam,FotoFinder
Levl,Levl
LG Optimus S ,LG Electronics
LG Smartphone (Model Unspecified),LG Electronics
Librosa,Librosa
Lief,Lief Therapeutics
Life365,Life365
LifeBooster,Lifebooster
Lifecard CF,Spacelabs Healthcare
LifeChamps Platform,LifeChamps Project
Lifecorder,Suzuken-Kenz
LifeFuels Smart Bottle,Lifefuels
LIFELEAF,Lifeplus
Lifelight,Xim
Lifeline,"Lifeline,Philips"
LifePath-C,Elastic Care Inc.
LifeSignals (Model Unspecified),LifeSignals
LifeSmart Cholesterol Multifunctional Monitoring System,Able Healthcare
Lifetemp,Isansys Lifecare
Lifetouch,Isansys Lifecare
LifeVit AT-250 ,LifeVit
LifeVit AT-520HR,LifeVit
LifeVit Bpm-200,LifeVit
LifeVit PR-500,LifeVit
LifeVit Vital,LifeVit
LifeViz Mini,QuantifiCare
LifeViz Mini Pro,QuantifiCare
LifeViz Pro Infinity,QuantifiCare
Light,Nreal
Lightbuzz,LightBuzz
LightMove 3,Movisens
LightMove 4,Movisens
Lilium α-200,Otsuka Pharmaceutical
Limbo ,Limbo
Lina,iHealth
Lingo,Abbott
Link+,LiveCare
Linktop 6-in-1 Health Monitor,Linktop
LIPSedge AE400,LIPS Corp
LIS3DH,STMicroelectronics
Lite Wireless Body Analysis Scale (HS4S),iHealth
LiveGuard,LiveMetric
LiveOne,LiveMetric
LivePatch,LiveMetric
Livi Smart Pill Dispenser,PharmRight Corporation
Livio AI,Starkey
Livongo Blood Glucose Monitor,Livongo
Livongo Blood Pressure Monitor,Livongo
Livongo Scale,Livongo
Loadsol,Novel Electronics
Lockhart Monitor app,MyACTome
LOCS,MySphera
LoFlo,Philips
Logitech C920,Logitech
Long COVID Companion,Luxembourg Institute of Health
Longevity Biomarkers app,Longevity Biomarkers
LOOKEE Ring Pulse Oximeter,LOOKEE
LOOKEE Wrist Sleep Monitor,LOOKEE
Loop 2 Activity Tracker,Polar
Loop Activity Tracker,Polar
Loop Crystal Activity Tracker,Polar
Loop System,Spry Health (acquired by Itamar Medical)
LP12XX,LifeSignals
LPM-101,Lysun Biotechnology
LPMS-B2,LP-RESEARCH
LS11,Olympus
LS2000,Yamax
LSM330DLC,STMicroelectronics
LUCY,Looxid Labs
Luma,Entia
Lumen,Lumen
Lumia,Lumia Health
Lumia 1020,Nokia
Lumo Lift,Lumo Bodytech
Lumoback,Lumo Bodytech
Lung Monitor BT Smart,Vitalograph
Lung Sound Recorder App,Mobile Technology Lab
Luxe,Fitbit
Lynk2,Accuro
Lynx,DyCare
LYS Button,LYS Technologies
M-MARK,University of Southampton
M2,Omron Healthcare
M3,Omron Healthcare
M3 Intellisense (HEM-7051-e),Omron Healthcare
M4 Watch,Suunto
M5,Global Instrumentation
M5 Watch,Suunto
M5-StickC,M5Stack
M6 Comfort (HEM-7221-E),Omron Healthcare
M6 Comfort (HEM-7322U-E),Omron Healthcare
M7 Intelli IT,Omron Healthcare
M10-IT,Omron Healthcare
M200,Polar
M400,Polar
M430,Polar
M450,Polar
M600,Polar
MacuFix,app4eyes GmbH & Co. KG
Macustat,RemoniHealth
MaddCog Game Band,MaddCog
Magic Leap 2,Magic Leap
Manifold Platform,Adaptive Sensory Technology
MapMyRide,Under Armour
MapMyRun,Under Armour
MapMyWalk,Under Armour
Marsden BAS-100HM Baby Scale,Marsden
Marsden BAS-200 Baby Scale,Marsden
Marsden BAS-250 Home Baby Scale,Marsden
Marsden BS-250BT Smart Bathroom Scale,Marsden
Masimo Freedom,Masimo
Masimo Pulse Oximeter (Model Unspecified),Masimo
Masimo W1,Masimo
Mason A4100,Mason
Master Caution Garment,HealthWatch
Mate App,Empatica
Matrix,Gyenno Technologies
Maverick™ Diagnostic System (MDS),Genalyte
MAX30101,Maxim Integrated
MAX30102,Maxim Integrated
MAX86178,Analog Devices
Maxim MAXREFDES100,Maxim Integrated
Maya Pill Dispenser,MedMinder
Mayo Clinic ECG Study App,Mayo Clinic
Mayo Test Drive,Mayo Clinic
Mbientlab (Model Unspecified),Mbientlab
mCardia app,CACHET - Copenhagen Center for Health Technology
MCOT Patch (BioTel Heart),"Philips,BioTelemetry"
MD-H30 Infrared Thermometer,Hylogy
MD-H37 Pulse Oximeter,Hylogy
MD300C Pulse Oximeter,ChoiceMMed
MD300C19,ChoiceMMed
MD300C29,ChoiceMMed
MD300C318T2 Pulse Oximeter,ChoiceMMed
MDF BP65,MDF Instruments
mDurance System,mDurance Solutions
ME90,Beurer
Medable Platform,Medable
Medgic,Medgic
MediAlarm,IoTeen
MediaPipe,Google
MediBeat,HeartBeat Technologies
Medical Artificial Intelligence Assistant (MAIA),Muen Biomedical and Optoelectronic Technologies
Medicam,FotoFinder
Medido,Philips
Medified App,Medified
Medilight,MediThings
Medilog AR,Schiller
Medilog AR12,Oxford Instruments
Medilog FD5 Plus,Schiller
Medios DR (AI),Remidio
MediPines AGM100,Medipines
Medoclinic,Medotemic
Medquip MQ-3000,Abbott
MedRhythms Stride Plus Platform,MedRhythms
MedStorm PainSensor,MedStorm
Medtronic Continuous Glucose Monitor (Model Unspecified),Medtronic
Medtronic Hybrid Closed Loop System (Model Unspecified),Medtronic
MedWand,MedWand
MedyRPM,Vaica
MelApp,MEETER CONGRESSI SRL
Melbourne Rapid Fields,M&S Technologies
mEMA app,ilumivu
Memesto,Edgewater Safety Systems
Memo Box,Tinylogics
Memo patch,Huinno
MEMS Cap,AARDEX Group
Merlin ECG Event Recorder,Meditech
Mesana,corvolution GmbH
MET ONE HHPC 2+,Beckman Coulter Life Sciences
MET ONE HHPC 3+,Beckman Coulter Life Sciences
MET ONE HHPC 6+,Beckman Coulter Life Sciences
Meta Quest Move,Meta
MetaMax 3B,Cortex
MetaMax II,Cortex
MetaMotionC,Mbientlab
MetaMotionR,Mbientlab
MetaMotionS,Mbientlab
MetaTracker,Mbientlab
Metria IH1,Vandrico
MetricWire ,MetricWire
Mexameter MX 18,Courage + Khazaka Electronic
Mezurio App,Oxford University Big Data Institute
MG-M1100-HW,"LSI Medience Corp,Mitsubishi Chemical Medience Corporation (now LSI Medience Corporation)"
MGMove,Medical Guardian
MGY-H12,DM Software
Mi 4,Xiaomi
Mi 9,Xiaomi
Mi A2,Xiaomi
Mi Band ,Xiaomi
Mi Band 2,Xiaomi
Mi Band 3,Xiaomi
Mi Fitness ,Xiaomi
Mi Smart Band 4,Xiaomi
Mi Smart Band 5,Xiaomi
Mi Smart Band 6 ,Xiaomi
Mi Smart Band 7,Xiaomi
Mi Smart Band 7 Pro,Xiaomi
Mi Smart Band 9 Pro,Xiaomi
Mi Smart Scale 2,Xiaomi
Miamind Neurostimulator,Bottneuro
MiaoMiao (Series Unspecified),MiaoMiao
miCoach Smart Run,Adidas
Micro Mini Motionlogger,Ambulatory Monitoring
Micro Motionlogger Watch,Ambulatory Monitoring
Micro+ Pro Smokerlyzer,Bedfont Scientific
Micro+ Smokerlyzer,Bedfont Scientific
Microcam SE,IntroMedic
MicroFET 2,Hoggan Scientific
microFET 3,Hoggan Scientific
microINR,iLine
MicroLife Blood Pressure (Model Unspecified) ,Microlife
MicroRPM,Micro Medical Devices
Microscope – USB Camera,Doctorgram
Microsoft Surface Pro (Model Unspecified),Microsoft
Midday,Lisa Health
MightySat,Masimo
MiGo,FlintRehab
Miiskin PRO,Miiskin
miLens,Smartlens
Mili,ki:elements
Mimamori-Gait,LSI Medience Corp
MIMOSA Pro,MIMOSA Diagnostics
MIMOSYS,PST Inc
Mindfield eSense Skin Response,Mindfield Biosystems
mindLAMP,Beth Isreal Deaconess Medical Center
Mindmore,Mindmore
Mindo,BrainBit
Mindrove Arc,Mindrove
Mindrove Armband,Mindrove
Mindrove Bright,Mindrove
Mindrove Strip,Mindrove
Mindstep,Mindstep
MindWave,NeuroSky
MindWave Mobile 2,NeuroSky
Mini Wave Infinity,Cometa Systems
MiniMed (Series Unspecified),Medtronic
MiniMed Enlite Sensor,Medtronic
MiniMed™ 780G,Medtronic
MiniWave,Cometa Systems
Minuteful for Wound,Healthy.io
Minze Diary Pod,Minze Health
Minze Homeflow,Minze Health
Mio Alpha,"PAI Health,Mio Global (now PAI Health)"
Mio Slice,"PAI Health,Mio Global (now PAI Health)"
mioPOD,Mio Labs
Miotool,Miotec
MIRA,Mira Rehab
Mira Monitor,Mira
Miro Health,Miro Health
Mirocam MC1600,IntroMedic
MJN - SERAS,MJN Neuroservices
MK8 Microloop Viasys,Cardinal Health
mKinetikos,Kinetikos Health
MMOXX1.01,Maastricht Instruments
MMPose,OpenMMLab
mobiCARE+ Temp MT100D,Seers Tech
Mobil-O-Graph 24hr ABPM,IEM
Mobile 6MWT App,VivaLINK
Mobile Fit ,Size Stream
Mobile GaitLab,Portabiles Health Care Technologies
Mobile Monitoring of Cognitive Change (M2C2),Sage Bionetworks
Mobile Motion Visualizer,System Friend
Mobile-64,Cognionics 
MobileCoach,MobileCoach
mobileDNA,Ghent University
MobileMat 3140,Tekscan
MobileMat HR,Tekscan
MobileTrack,Fitbit
Mobilyze!,Northwestern University
Mobistudy,Malmö University
Mobita 32-Channel Biopotential Amplifier,BioPac Systems Inc.
Mobvoi Smartwatch (Model Unspecified),Mobvoi
MOCAcuff,Mocacare
MOCAheart,Mocacare
MoCap Pro Fidelity Gloves,StretchSense
MoCap Pro SuperSplay Gloves,StretchSense
Mocapsuit,Synertial
modality.ai,Modality.ai
Model 3200,3M
Model 3231 USB,Nonin Medical
Model 8500,Nonin Medical
Model Dermatology,IDerma
Modern Fertility Ovulation Test,"Modern Fertility,Ro Health"
Modius Sleep,Neurovalens
Modius Stress,Neurovalens
MoistureMeterD,Delfin Technologies
MoistureMeterSC,Delfin Technologies
Moki Band,Moki Technology Ltd.
MoLab,Umeå University
MoleScope II,MetaOptima
Mom Genes Fight PPD (PPD Act App),University of North Carolina Chapel Hill
MoMe ARC Platform,InfoBionic Inc. 
MONARCA,Dartmouth College
MonBaby,"MonBaby,MonDevices (now MonBaby)"
Monica AN24,"GE  Healthcare,Monica Healthcare (now GE Healthcare)"
MoNoA Wearable,MoNoA
Monsenso,Monsenso
MoodRhythm,Cornell University
Moov HR Burn,Moov
Moov HR Sweat,Moov
Moov Now Omni Motion ,Moov
Morpheus,Micromed Group
Morpheus Ox,WideMed Technologies Ltd.
Mortara Holter ,"Boston Scientific,Preventice (now Boston Scientific)"
Moticon,Moticon Science
Motion Energy Analysis,University of Bern 
Motion Sensor C4,NYCE Sensor Solutions
MotionSense,Stryker
MotionWatch 8,CamNtech
MotionWatch Rugged,CamNtech
MotionX 24/7,Fullpower Technologies
MotioWear,MotioSens
Motiv Ring,Motiv
MOTO 360,Motorola
MOTO E6,Motorola
Moto G5,Motorola
Moto G6,Motorola
Motor Assessment of Infants with a Jumpsuit (MAIJU),University of Helsinki
Motorola Smartphone (Model Unspecified),Motorola
Motorola Smartwatch (Model Unspecified),Motorola
Motus Movement Monitor,Motus Bioengineering
MouthLab,Aidar
MovAlyzeR,NeuroScript
Move 2,Movisens
Move 3,Movisens
Move 4,Movisens
Move ECG,Withings
Move Watch,Withings
Movella DOT,Movella
MoveNet,TensorFlow
Moverio BT-200,Epson
Movesense,Suunto
Movesense Medical,Movesense
Moving Analytics (Movn) App,Movn Health
Movisens (Model Unspecified),Movisens
movisensXS (Version Unspecified),Movisens
MOX Activity Logger,Maastricht Instruments
MOX2,Maastricht Instruments
MOX5,Maastricht Instruments
Moxy Monitor,Moxy Monitor
MP5,Medpage
MP35,BioPac Systems Inc.
mPower,Sage Bionetworks
MPTcompact,JenLab
MPTflex,JenLab
MPTflex-CARS,JenLab
MPU-9250,InvenSense
MS Sherpa,Orikami Digital Health Products
mSafety,Sony Network Communications Europe
MSCopilot,Ad Scientiam
Mshorts,Vitia
mSpirometer,Cohero Health
MSR145,MSR Electronics
mSway,mHealth Technologies
mTest3,mHealth Technologies
MTi-3,"Xsens (now Movella),Movella"
MTN-220/MTN-221,"""Accord Co., Ltd."""
MTR,Mbientlab
MTw Awinda,"Movella,Xsens (now Movella)"
MTx,"Movella,Xsens (now Movella)"
MTX Remote Monitoring,Cnoga Medical
Mudra Inspire,Wearable Devices
Multi-Monitoring System (PM 900),e-LinkCare
Multi-Sport,TomTom
Multi-Sport + Heart Rate Monitor Strap,TomTom
Multi-Sport Cardio,TomTom
MultiBit,Novartis
MultiSense,Rhythm Diagnostic Systems
Multitude,Deliberate Solutions Inc.
Muse,InteraXon
Muse 2,InteraXon
Muse Health,Muse Wearables
Muse S,InteraXon
MV1,MVTrak
MVD300,Globalmed
MVN Awinda,"Movella,Xsens (now Movella)"
MVN Link,"Movella,Xsens (now Movella)"
MVN-BIOMECH,"Movella,Xsens (now Movella)"
my Cam,My-Cardia
MY HOWDY,ComfTech
My Jump,My Jump
My Jump 2,My Jump
My Predi,Predimed Technology
My Skin App,Teach-Technology Organization
My UV Patch,La Roche Posay
My Viva Plan,My Viva Inc.
MyBeat WHS-1,Union Tool
MyBeat WHS-2,Union Tool
MyBeat WHS-3,Union Tool
myBloodPressure,Babyscripts
MyDiagnostick,MyDiagnostick
MyDignio,Dignio
MyFoodRepo,MyFoodRepo
MyGaze,myGaze
MyHealth,DataRiver
MyIUS,BAYOOCARE
myMerlin,Abbott
MyNotifi Fall Detection System,MedHab
Myo-Band,Google
Myomonitor IV,Delsys
MyoMotion ,Noraxon
myoMUSCLE Software Module,Noraxon
myopia.app,VisionApp
MyoPro,Myomo
myoRESEARCH,Noraxon
MyoSystem 1400A,Noraxon
MyotonPRO,Myoton
myPatch sl,DMS Service
myRecovery,MyRecovery
MysignS,Honeywell
MySkinSelfie,The Newcastle Upon Tyne Hospitals NHS Foundation Trust
MySmartHeart,MSH Medical Europe
myTemp,myTemp
MyVisionTrack,Genentech
MyWellness Key,Technogym
MyZeo,Zeo Inc.
MZ-1,Myzone
MZ-3,Myzone
N-Tidal Capture,TidalSense
NAFAS,NAFAS
Nano Meter,"Accu-Chek,Roche"
NanoMood,NanoMood Tech
NanoVivo,NanoVivo Diagnostics
Nansense Glove,Nansense
Nasal Holter,Sniff Logic
Natural Cycles App,Natural Cycles
Natus Polysomnography (Model Unspecified),Natus Medical
NBP 24-NG Ambulatory Blood Pressure Monitor,Norav Medical
NC150BT,Microlife
NC200,Microlife
NeckSmart,NeckCare
Neebo,Daatrics
NELA,Carepath Technologies GmbH
Nellcor NBP-40,Medtronic
Nellcor Portable SpO2 Patient Monitoring System (Model Unspecified),Medtronic
Nellcor Portable SpO2 Patient Monitoring System (PM10N),Medtronic
Nellcor Portable SpO2 Patient Monitoring System (PM100N),Medtronic
Nellcor SpO2 Forehead Sensor,Medtronic
Nelli,Neuro Event Labs
NEMURI SCAN,PARAMOUNT BED CO. LTD
NEO,iHealth
neo CFM,ANT Neuro
neOAUVRA,Neo Auvra
NeoBeat,Laerdal Global Health
Neofect Cognition,Neofect
neoGuard,Neopenda
neoSCB,University College London
Neotiv Cognitive Tests,Neotiv
Nest Hub (2nd gen),Google
Neteera,Neteera
NETRA (Near Eye Tool for Refractive Assessment) App,EyeNetra
Neuphony Flex Cap,Neuphony by PankhTech
Neuphony Headband,Neuphony by PankhTech
NeuPulse Wrist Device,Neurotherapeutics
Neuralert,Neuralert Technologies
NeuraLight,NeuraLight
Neurametrix TC,NeuraMetrix
Neurava,Neurava
NeuroBell,Neurobell
NeuroCap,LOK Corporation
Neurocatch,NeuroCatch
NeuroCom Smart EquiTest,Natus Medical
Neurode Wave,Neurode
Neuroglee Connect,Neuroglee Therapeutics
Neurokeys,Neurocast
Neuroliten MVP,EnlitenAI
NeuroLynQ,Shimmer Sensing
Neuromotor pen,Manus Neurodynamica
Neuronaute,BioSerenity
neuroNicle FX2,Omnifit
NeuroPath App,University of Pennsylvania
neuroQWERTY,nQ Medical
NeuroRPM,NewTouch Digital
Neurosity,Neurosity
Neurosteer,Neurosteer
Neurotrack,Neurotrack
Neurotrack MyoPlus 2,Verity Medical
NeuroTrail,NeuroPro
NeuroUX,NeuroUX
Neurovine,Neurovine
NeuroVocalix,Cambridge Cognition
NeuTrack App,Neurotherapeutics
Nevisense,SciBase
New Lifestyles Pedometer (Model Unspecified),New Lifestyles
Nexkin,Chronolife
NexStem Headset,NexStem
NextSense,NextSense
Nexus,Vicon
Nexus 5,Google
Nexus 5X,Google
Nexus 6,Google
Nexus 6P,Huawei Technologies
NeXus-10 MKII,Mind Media
NGIMU,X-IO
nGoggle,NGoggle Diagnostics
Nightbuds,Kokoon
NightOwl,Ectosense
NightSignal,Stanford University
NightWare,NightWare
NightWatch,LivAssured
NIH Toolbox App,HealthMeasures (Northwestern University)
Nike Activity Tracker (Model Unspecified),Nike
NilsPod,Portabiles
NINscan - M,"Massachusetts General Hospital,Harvard Medical School"
NIOX MINO,NIOX
NIOX VERO,NIOX
NIRSIT,OBELAB
NIRSport,NIRx
NiteWatch,ReactDx
NIVA,VoluMetrix
Nix Hydration Biosensor,Nix
NL-800,New Lifestyles
NL-1000,New Lifestyles
NL-2000,New Lifestyles
NL-2200 Lifecorder EX,New Lifestyles
NM Fundus On Phone,Remidio
NNOXX One,NNOXX
NObreath,Bedfont Scientific
Nock Senior,Neki
Nodle M1,Nodle
NoitomVPS,Noitom
Nokia 8,Nokia
Nokia BPM+,Withings
Nokia Smartphone (Model Unspecified),Nokia
NoMo Headband,NoMo Diagnostics
Non Contact Infrared Thermometer (PT2L),iHealth
Non-Contact Infrared Forehead Thermometer (PT3),iHealth
Non-Invasive Anemia Detection App (NiADA),Monere
Nonagon N9,Nonagon
Nonin Avant 4000,Roxon Medi-Tech
Nonin Oximeter (Model Unspecified),Nonin Medical
NoninConnect Elite 3240,Nonin Medical
Noraxon Accelerometer (Model Unspecified),Noraxon
Noraxon IMU (Model Unspecified),Noraxon
Noraxon Surface EMG (Model Unspecified),Noraxon
Norbert Health,Norbert Health
NorthEast Holter Monitor (Model Unspecified),NorthEast Monitoring
Notal Home OCT,Notal Vision
Notch,Notch
Note8,Samsung
Note9,Samsung
Nova,Senseglove
Nova,Incus
Nova Max Link,Nova Max
NovioSense,Noviosense
Novoic,Novoic
Nox A1,Nox Medical
Nox A1s,Nox Medical
Nox BodySleep,Nox Medical
Nox T3s HST,Nox Medical
Nox-T3,Nox Medical
NPi-200 Pupillometer,NeurOptics
NPi-300 Pupillometer,NeurOptics
NT3,RØDE
Nuance Audio,Nuance Hearing
NuEyne T100,NuEyne
NuGlove,AnthroTronix
Nuitrack,3DiVi Inc.
NUROCHEK,Headsafe
Nushu,Magnes
NutriGuard-MS,Data Input
NutriSense App,NutriSense
Nuubo Wearable ECG ,Nuubo
NYCE Infrared Presence Sensors (Model Unspecified),NYCE Sensor Solutions
O-100 Fingertip Pulse Oximeter,Marsden
O2 Ring,Wellue
O2 Vibe,Bodi Metrics
O2Ring,Viatom
OCOsense,Emteq labs
OctaMon,Artinis
Octopus Watch,Joy
OcuDoc Mobile,OcuDoc
Oculus Go,Meta
oDocs Nun Ophthalmoscope,oDocs Eye Care
OdySight,Tilak Healthcare
OH1 Heart Rate Monitor,Polar
Ohmega,Laborie
OHR Tracker,PulseOn
OKKO Health App,OKKO Health
Oli PPH,Baymatob
Olive KG,Olive Diagnostics
Omegawave,Omegawave
OmniBand,Oaxis
Omnipod 5,Insulet
OMOM HD,Jinshan Science and Technology
Omron Blood Pressure Monitor (Model Unspecified),Omron Healthcare
Omron Body Composition Monitor and Scale (Model Unspecified),Omron Healthcare
Omron J750,Omron Healthcare
Omron MIT5,Omron Healthcare
Omron Pedometer (Model Unspecified),Omron Healthcare
OMshirt,OMsignal
OncoWatch App,ZiteLab ApS
One,Fitbit
One,Neo Health
One,Thinklabs
One,Dexcom
"One
",Cosinuss
One Drop Glucometer,One Drop
Onera Sleep Test System,Onera Health
OneStep,OneStep
OneTouch (Series Unspecified),Lifescan
OneTouch Ping,Johnson & Johnson
OneTouch Select Plus,Lifescan
OneTouch Select Simple,Lifescan
OneTouch Ultra2,Lifescan
OneTouch UltraLink,Lifescan
OneTouch UltraMini,Lifescan
OneTouch Verio,Lifescan
OneTouch Verio Flex,Lifescan
OneTouch Verio IQ,Lifescan
OneTouch Verio Pro+,Lifescan
OneTouch Verio Reflect,Lifescan
Onitor Track,Cloudtag
OnStep 400,Decathlon
OnTrak Monitor 90227,Spacelabs Healthcare
Onyx II 9550,Nonin Medical
Onyx Vantage 9590,Nonin Medical
Onyx3 9591,Nonin Medical
Oova Fertility,Oova
Opal,"Clario,ERT Health (now Clario),APDM (now Clario)"
OpenBCI EEG system (Model Unspecified),OpenBCI
OpenCap,Stanford University
OpenCV (Python),Python
OpenDBM,AiCure
OpenFace,University of Cambridge
OpenGaze,Gazepoint
OpenGo,Moticon Science
OpenPose,Carnegie Mellon University
openSMILE,audEERING GmbH
Opioid Halo,Masimo
OPPO Band,OPPO
Oppo Neo 3 (R831),OPPO
OPPO Reno6,OPPO
OPPO Watch,OPPO
OPPO Watch Free,OPPO
OptiBP,Biospectal
OptimEye S5,Catapult
OptiMind,Cognetivity Neurosciences
Optitrack (Model Unspecified),OptiTrack
OptiTrack Gloves,Manus
OPUM,Opum Technologies
Opuz Ring,Opuz Technology
ORATECH Technology Platform,Oregon Health and Science University
Orb,Fitbug
OrbSense +,OrbSense Technologies
ORCATECH Life Lab Platform,ORCATECH
Oro Muscle (Model Unspecified),Oro Muscles
Orphe Core,ORPHE Inc.
